video,numnodes,frames,cuts,seconds,p1,p2,p3,p4,version
ava_cadu,1,195,0,4915,1,1546,3344,24,0
chicken,1,196,1,2982,2,962,2004,13,0
night,1,179,3,2748,2,887,1848,11,0
face,1,125,2,3301,1,1070,2216,14,0
ava_cadu,2,195,0,5358,4,1027,4298,29,0
chicken,2,196,1,2195,0,622,1558,15,0
night,2,179,3,1795,0,576,1207,12,0
face,2,125,4,2181,1,735,1430,15,0
eggdog,2,674,13,11525,14,3732,7712,67,0
jordan,0,125,1,4251,,,,,
face,0,125,4,3208,,,,,
soul,0,174,0,6051,,,,,
night,0,179,3,3082,,,,,
sonicfan,0,181,7407,,,,,
ava_cadu,0,195,0,5387,,,,,
chicken,0,196,1,3367,,,,,
sneeze,0,208,0,4054,,,,,
wow,0,208,0,6462,,,,,
dance,0,230,1,7862,,,,,
jordan,1,125,1,1732,3,1319,394,17,1
face,1,125,4,1822,3,1399,405,15,1
soul,1,174,0,2509,3,1934,547,25,1
night,1,179,3,1426,2,1098,314,13,1
sonicfan,1,181,0,2483,4,1885,577,18,1
ava_cadu,1,195,0,2633,4,1981,619,29,1
chicken,1,196,1,1509,3,1151,340,15,1
sneeze,1,179,0,1378,2,1045,312,19,1
wow,1,208,0,2554,4,1871,662,17,1
dance,1,230,1,3147,5,2390,730,23,1
fad,1,308,10,4353,7,3296,1005,46,1
meowth,1,416,3,5864,9,4461,1369,25,1
kiwi,1,466,5,6017,4451,1474,77,1
walk,1,500,12,6748,9,5047,1636,55,1
eggdog,1,674,13,9414,13,7207,2134,61,1
infinity,1,732,25,7347,10,5422,1839,77,1
zelda,1,899,17,9207,2863,131,1
ncis,1,914,32,12610,17,9488,2973,132,1
jordan,2,125,1,1109,3,693,397,16,1
face,2,125,4,884,1,608,260,15,1
soul,2,174,0,1615,3,1038,549,25,1
night,2,179,3,773,1,592,168,12,1
sonicfan,2,181,0,1604,4,1012,571,17,1
ava_cadu,2,195,0,1720,4,1076,611,29,1
chicken,2,196,2,842,3,607,217,15,1
sneeze,2,208,0,891,2,559,311,19,1
wow,2,208,0,1720,4,991,692,33,1
dance,2,230,1,1702,5,1246,428,23,1
fad,2,308,10,2392,7,1749,591,45,1
meowth,2,416,3,3100,12,2303,718,67,1
kiwi,2,466,5,3341,11,2302,954,75,1
walk,2,500,12,3515,12,2608,839,56,1
eggdog,2,674,13,4963,14,3779,1109,61,1
infinity,2,732,25,3800,13,2785,926,77,1
zelda,2,899,18,6438,2,4705,1582,150,1
ncis,2,914,32,6812,23,4841,1816,133,1
roll,2,1104,12,8042,29,5914,1933,166,1
sekiro,2,2013,31,13647,46,10022,3393,186,1
transistor,2,2328,26,16491,57,11273,4932,229,1
hatkid,2,2550,38,18711,59,13614,4772,268,1
jordan,4,125,1,468,5,268,165,11,1
face,4,125,4,412,5,291,104,11,1
soul,4,174,0,847,7,431,392,17,1
night,4,179,3,393,4,325,60,5,1
sonicfan,4,181,0,841,8,421,399,13,1
ava_cadu,4,195,0,783,3,422,347,11,1
chicken,4,196,1,461,2,340,113,6,1
sneeze,4,208,0,479,4,248,213,13,1
wow,4,208,0,948,8,418,502,20,1
dance,4,230,1,840,9,519,296,17,1
fad,4,308,10,1051,11,174,291,36,1
meowth,4,431,3,1194,1,905,249,25,1
kiwi,4,466,5,1463,17,936,448,62,1
walk,4,500,12,1484,16,1059,355,54,1
eggdog,674,13,2092,26,1498,474,95,1
infinity,4,732,25,1575,21,1130,369,56,1
zelda,4,899,18,2413,34,1680,644,55,1
ncis,4,914,32,2930,34,1927,836,133,1
roll,4,1104,12,
ori,4,1798,29,4182,72,2991,993,125,1
obra,4,1972,11,4909,89,3308,1288,225,1
smash,4,1802,3,5074,70,3050,1826,129,1
sekiro,4,2013,31,4943,87,3368,1374,114,1
pyre,4,2128,14,5480,95,3424,1765,196,1
transistor,4,2328,26,5553,88,3784,1427,254,1
jordan,8,125,1,332,146,166,12,1
face,8,125,4,276,8,153,104,11,1
soul,8,174,0,632,11,222,381,17,1
night,8,179,3,214,6,130,69,9,1
sonicfan,8,181,0,646,13,223,396,13,1
ava_cadu,8,195,0,715,13,241,439,22,1
chicken,8,196,1,299,6,140,142,11,1
sneeze,8,208,0,359,6,127,212,13,1
wow,8,208,0,731,14,240,456,20,1
dance,8,230,1,614,20,282,294,17,1
fad,8,308,10,617,22,365,197,33,1
meowth,8,416,3,877,29,492,309,48,1
kiwi,8,466,5,
walk,8,500,12,
eggdog,8,674,13,
infinity,8,732,25,
zelda,8,899,18,
ncis,8,914,32,
roll,8,1104,12,