name,frames,cuts,sfc,sf8
jordan,125,1,64.34,2.66
face,126,4,31.89,2.21
soul,174,0,174,5.06
night,179,3,45.94,1.23
sonicfan,181,0,181,3.57
ava_cadu,195,0,195,3.67
chicken,196,1,101.33,1.53
sneeze,208,0,208,1.72
wow,208,0,208,3.51
dance,230,1,117.3,2.7
fad,308,10,30.46,2
meowth,431,3,108.28,
kiwi,466,5,91.54,
walk,500,12,41.85,
eggdog,674,13,49.43,
infinity,732,25,31.17,
zelda,899,18,50.46,
ncis,914,32,37.08,
endgame,1440,33,46.1,
roll,1104,12,99.04,
gate,1739,9,252.8,
ai,1745,0,1745,
ori,1798,29,78.99,
smash,1802,3,758.28,
obra,1972,11,206.11,
sekiro,2013,31,81.84,
pyre,2128,14,224.02,
bastion,2128,15,215.62,
trek,2256,80,32,
transistor,2328,26,161.84,
hatkid,2550,38,77.61,